Cluster	Gene	FY23.SC_FY23.SC.1	FY23.SC_FY23.SC.2	FY23.YE_FY23.YE.1	FY23.YE_FY23.YE.2	FY24.SC_FY24.SC.1	FY24.SC_FY24.SC.2	FY24.YE_FY24.YE.1	FY24.YE_FY24.YE.2	Transcript
I_141648_141678_-	YAL005C__SSA1	10.277	12.302	7.863	7.796	12.113	9.532	6.851	6.806	YAL005C_mRNA
I_142116_142179_+	YAL003W__EFB1	912.868	908.414	1223.793	1194.437	840.036	862.178	1124.395	1134.455	YAL003W_mRNA
I_142229_142234_+	YAL003W__EFB1	3.392	4.317	1.232	2.369	2.874	3.458	0.881	2.367	YAL003W_mRNA
I_142245_142249_+	YAL003W__EFB1	2.295	1.942	1.895	1.974	2.464	1.776	0.685	1.479	YAL003W_mRNA
I_142328_142330_+	YAL003W__EFB1	0	0	0.095	0.099	0	0	0.196	0.296	YAL003W_mRNA
I_142714_142717_+	YAL002W__VPS8	0.399	0.432	1.042	1.086	0.205	0.28	0.587	0.789	YAL002W_mRNA
I_142714_142717_+	YAL003W__EFB1	0.399	0.432	1.042	1.086	0.205	0.28	0.587	0.789	YAL003W_mRNA
I_142737_142741_+	YAL002W__VPS8	0.399	0.108	0.474	0.099	0.308	0.28	0.685	0.493	YAL002W_mRNA
I_142737_142741_+	YAL003W__EFB1	0.399	0.108	0.474	0.099	0.308	0.28	0.685	0.493	YAL003W_mRNA
I_142836_142840_+	YAL002W__VPS8	2.295	1.942	3.979	2.862	1.848	2.243	3.034	2.367	YAL002W_mRNA
I_142836_142840_+	YAL003W__EFB1	2.295	1.942	3.979	2.862	1.848	2.243	3.034	2.367	YAL003W_mRNA
I_142890_142894_+	YAL002W__VPS8	0.499	0.432	0.758	0.296	0.103	0.841	0.881	0.888	YAL002W_mRNA
I_142890_142894_+	YAL003W__EFB1	0.499	0.432	0.758	0.296	0.103	0.841	0.881	0.888	YAL003W_mRNA
I_142986_142988_+	YAL002W__VPS8	0.299	0.432	0.284	0.592	0.308	0.187	0.587	0.789	YAL002W_mRNA
I_142986_142988_+	YAL003W__EFB1	0.299	0.432	0.284	0.592	0.308	0.187	0.587	0.789	YAL003W_mRNA
I_143115_143117_+	YAL002W__VPS8	0.798	0.432	0.474	0.691	0.205	0.374	0.881	0.592	YAL002W_mRNA
I_143115_143117_+	YAL003W__EFB1	0.798	0.432	0.474	0.691	0.205	0.374	0.881	0.592	YAL003W_mRNA
I_143547_143682_+	YAL002W__VPS8	27.14	26.978	15.347	18.159	23.098	24.484	14.779	13.118	YAL002W_mRNA
I_151160_151212_-	YAL001C__TFC3	37.616	38.741	26.526	26.547	37.777	33.082	25.839	25.644	YAL001C_mRNA
I_152162_152252_+	YAR002W__YAR002W	56.774	56.547	62.241	59.608	58.925	56.257	55.593	51.683	YAR002W_mRNA
I_154520_154535_-	YAR002C-A__YAR002C-A	0.399	0.647	0.379	0.395	0.103	0.093	0.098	0.197	YAR002C-A_mRNA
I_154660_154802_-	YAR002C-A__YAR002C-A	97.882	99.28	100.514	99.874	92.288	95.694	102.769	104.746	YAR002C-A_mRNA
I_154904_154964_+	YAR003W__SWD1	14.667	14.352	14.495	14.606	15.296	15.793	12.43	13.907	YAR003W_mRNA
I_158616_158722_-	YAR007C__RFA1	29.734	25.791	29.557	25.857	26.383	27.848	25.937	26.433	YAR007C_mRNA
I_158820_158906_+	YAR008W__SEN34	25.643	24.712	29.747	23.291	25.151	26.166	27.797	27.124	YAR008W_mRNA
I_168868_169061_-	YAR014C__YAR014C	65.354	69.064	62.431	59.51	68.677	65.696	58.334	60.362	YAR014C_mRNA
I_169235_169360_+	YAR015W__YAR015W	123.325	130.251	89.336	102.933	125.857	125.224	99.54	102.379	YAR015W_mRNA
I_16972_17006_+	.	1.098	1.727	0.758	0.888	1.335	2.056	1.272	1.184	NA
I_171692_171768_-	YAR018C__KIN3	24.545	26.978	19.137	21.12	20.634	22.802	18.988	17.162	YAR018C_mRNA
I_172007_172044_+	.	0.499	0.54	0.189	0.395	0.513	0.374	0.294	0	NA
I_172144_172163_+	.	0	0.324	0.189	0.099	0.411	0.467	0.196	0.197	NA
I_175125_175189_-	YAR019C__CDC15	5.388	7.554	3.789	6.217	5.646	6.261	4.111	4.438	YAR019C_mRNA
I_175269_175394_+	YAR019W-A__YAR019W-A	7.284	4.748	5.4	6.415	7.597	5.514	5.97	7.2	YAR019W-A_mRNA
I_179695_179740_-	YAR023C__YAR023C	1.197	1.727	1.326	0.79	1.437	0.935	0.685	0.789	YAR023C_mRNA
I_180017_180111_-	YAR023C__YAR023C	4.69	5.072	4.358	4.737	3.49	6.448	3.719	3.847	YAR023C_mRNA
I_18005_18012_+	.	0.1	0.54	0.379	0.197	0.411	0.561	0.489	0.592	NA
I_180194_180258_+	.	1.297	1.727	1.042	1.283	0.719	2.056	1.468	0.789	NA
I_180817_181008_-	.	4.39	2.806	2.368	2.171	4.106	3.738	2.741	2.071	NA
I_181429_181446_+	.	0.1	0	0.284	0.395	0	0.093	0.196	0	NA
I_183243_183379_-	.	0.898	0.755	3.126	2.467	0.616	0.654	2.251	2.071	NA
I_183547_183554_-	.	0.599	0.755	0.758	0.197	0.513	0.374	0.489	0.592	NA
I_183635_183638_+	YAR027W__YAR027W	0.2	0.432	0	0.099	0.103	0.28	0	0.099	YAR027W_mRNA
I_183667_183688_+	YAR027W__YAR027W	11.574	11.87	8.147	8.487	9.342	10.467	7.243	9.271	YAR027W_mRNA
I_183793_183797_+	YAR027W__YAR027W	1.098	0.54	2.368	2.566	0.719	0.374	2.545	2.663	YAR027W_mRNA
I_184132_184139_+	YAR027W__YAR027W	0.1	0.108	0.095	0.296	0.411	0.467	0.392	0.197	YAR027W_mRNA
I_184132_184139_+	YAR028W__YAR028W	0.1	0.108	0.095	0.296	0.411	0.467	0.392	0.197	YAR028W_mRNA
I_184667_184680_-	.	0.399	0.863	0.568	0.395	0.513	0.374	0.881	0.493	NA
I_184802_184916_+	YAR028W__YAR028W	32.328	29.892	21.505	23.291	30.078	30.185	22.511	21.403	YAR028W_mRNA
I_186918_187006_+	YAR029W__YAR029W	7.982	7.554	15.158	12.928	11.087	7.663	13.703	13.414	YAR029W_mRNA
I_186918_187006_+	YAR031W__YAR031W	7.982	7.554	15.158	12.928	11.087	7.663	13.703	13.414	YAR031W_mRNA
I_187363_187410_+	YAR031W__YAR031W	2.195	1.727	2.937	2.369	3.593	2.99	1.762	2.466	YAR031W_mRNA
I_187363_187410_+	YAR033W__YAR033W	2.195	1.727	2.937	2.369	3.593	2.99	1.762	2.466	YAR033W_mRNA
I_187869_187927_-	.	0.898	1.295	1.421	0.888	0.924	0.748	0.392	0.395	NA
I_188026_188066_+	YAR033W__YAR033W	25.344	29.784	21.6	22.797	22.071	22.989	22.316	18.444	YAR033W_mRNA
I_188848_188932_+	YAR033W__YAR033W	4.789	5.288	6.063	7.895	5.235	7.102	6.068	7.595	YAR033W_mRNA
I_188926_189085_-	.	5.188	9.173	5.021	5.428	6.467	4.953	5.383	3.649	NA
I_189312_189321_+	YAR035W__YAR035W	0.1	0	0.095	0.395	0	0	0.196	0.296	YAR035W_mRNA
I_190025_190069_-	.	15.366	11.87	4.737	4.638	14.372	12.336	5.97	4.241	NA
I_190162_190173_+	YAR035W__YAR035W	0.499	0.755	0.189	0.395	0.821	0.654	0	0.296	YAR035W_mRNA
I_190489_190495_+	YAR035W__YAR035W	0	0	0.095	0.197	0.308	0.187	0.294	0	YAR035W_mRNA
I_19049_19072_-	.	0.2	0.324	0	0.296	0.411	0.561	0.294	0	NA
I_191151_191156_-	.	0.299	0.54	0.095	0	0	0.093	0	0	NA
I_191325_191469_-	YAR035C-A__YAR035C-A	1.497	1.403	0.853	0.592	0.821	0.935	0.294	0.197	YAR035C-A_mRNA
I_191530_191624_+	YAR042W__SWH1	2.694	4.317	1.8	1.283	3.08	2.617	1.664	1.578	YAR042W_mRNA
I_191650_191656_+	YAR042W__SWH1	0.2	0.216	0	0	0.103	0.093	0	0.099	YAR042W_mRNA
I_191807_191814_+	YAR042W__SWH1	0.1	0.216	0.284	0.395	0.205	0.187	0.392	0.099	YAR042W_mRNA
I_191925_191941_+	YAR042W__SWH1	4.789	5.072	4.832	3.948	5.441	4.392	4.013	3.847	YAR042W_mRNA
I_192529_192645_+	YAR042W__SWH1	16.164	14.029	12.316	12.04	13.653	14.485	9.885	11.343	YAR042W_mRNA
I_198040_198045_-	.	0.599	0.54	0	0.099	0.308	0.654	0	0	NA
I_198208_198353_-	.	5.887	3.561	0.947	1.184	5.133	2.71	0.979	0.888	NA
I_198471_198538_+	.	1.098	1.079	0.095	0.395	2.361	1.215	0.294	0.099	NA
I_198835_198847_-	.	0.399	0.324	0	0.296	0.411	0.374	0.196	0.099	NA
I_198901_198958_+	.	2.794	3.561	1.705	2.566	2.669	1.869	2.643	2.367	NA
I_198981_199038_-	.	0.898	1.619	0.947	1.579	1.848	1.308	1.37	1.085	NA
I_199017_199033_+	.	0.499	1.187	0.474	0.395	0.308	0.467	0.392	0.69	NA
I_199080_199134_+	.	3.792	4.209	0.758	1.086	4.517	3.271	2.251	0.986	NA
I_199206_199323_+	.	8.581	8.417	2.084	2.27	6.57	8.13	3.817	3.156	NA
I_199408_199435_+	.	1.696	1.511	0.284	0.296	1.335	1.215	0.294	0.395	NA
I_200617_200680_+	.	3.392	3.453	3.221	2.665	3.285	2.243	2.838	2.663	NA
I_207661_207665_-	.	0.299	0.216	0.189	0.197	0.205	0.654	0.098	0	NA
I_208068_208093_-	.	1.098	0.54	0.474	0.395	1.027	0.654	0.294	0.493	NA
I_208173_208222_+	YAR053W__YAR053W	0.399	0.324	0.379	0.197	0.411	0.841	0.196	0.197	YAR053W_mRNA
I_208614_208672_-	.	2.195	1.727	0.853	0.79	1.437	1.589	1.272	0.69	NA
I_208766_208771_+	YAR053W__YAR053W	0.2	0	0.284	0	0.103	0.093	0.196	0.197	YAR053W_mRNA
I_208956_208960_+	YAR053W__YAR053W	0.1	0.324	0.095	0.099	0.308	0.093	0.196	0.197	YAR053W_mRNA
I_227248_227286_-	.	0.698	0.647	0.853	1.184	0.411	0.654	0.489	0.493	NA
I_227495_227521_+	YAR073W__YAR073W	0.499	1.727	0.758	0.592	0.513	1.215	1.175	0.69	YAR073W_mRNA
I_23331_23403_+	.	0.998	1.079	0.853	0.987	1.232	1.495	0.783	0.888	NA
I_23761_23817_+	.	0.599	1.187	0.663	0.493	0.513	0.374	0.489	0.296	NA
I_24347_24351_+	.	0.399	0.324	0.189	0.197	0.411	0.28	0.489	0.592	NA
I_24717_24753_-	.	0.399	0.324	0.379	0.592	0.924	0.654	0.196	0.197	NA
I_24833_25003_+	.	1.596	2.266	1.042	0.987	2.464	2.523	1.762	1.973	NA
I_28467_28471_-	YAL063C__YAL063C	0	0	0.379	0.395	0.205	0.28	0.392	0.197	YAL063C_mRNA
I_29771_29776_-	.	0.698	0.432	0.284	0.79	0.411	0.748	0.685	0.493	NA
I_30017_30156_+	.	1.896	1.619	1.042	1.579	1.642	1.215	0.881	0.69	NA
I_30643_30790_-	.	0.499	0.755	2.274	1.382	0.719	0.093	0.979	0.888	NA
I_31107_31263_+	YAL062W__GDH3	21.352	17.374	37.61	40.068	19.197	18.316	37.682	36	YAL062W_mRNA
I_31333_31343_+	YAL062W__GDH3	0.2	0.647	0.379	0.395	0.103	0.28	0.489	0.197	YAL062W_mRNA
I_31363_31367_+	YAL062W__GDH3	0.299	0.432	0	0	0.308	0.374	0.196	0	YAL062W_mRNA
I_31425_31619_-	.	3.293	3.237	4.358	2.171	4.209	4.205	4.894	2.86	NA
I_31712_31757_+	YAL062W__GDH3	1.197	2.914	3.126	2.566	2.669	2.43	4.013	2.959	YAL062W_mRNA
I_32540_32549_-	.	0.998	0.54	0.284	0.691	0.616	0.654	0.294	0.395	NA
I_32683_32766_-	.	9.379	8.849	1.989	2.566	6.981	7.57	2.447	2.269	NA
I_32684_32689_+	YAL061W__YAL061W	0.1	0	0.189	0.296	0.205	0.093	0.196	0.099	YAL061W_mRNA
I_32947_32972_-	.	1.896	1.727	2.274	1.48	2.464	2.804	1.37	1.479	NA
I_33180_33185_+	YAL061W__YAL061W	0.499	0.863	0.474	0.395	0.616	0.467	0.392	0.493	YAL061W_mRNA
I_33280_33284_+	YAL061W__YAL061W	0.299	0.432	0	0.099	0.205	0	0.098	0	YAL061W_mRNA
I_33304_33374_+	YAL061W__YAL061W	129.611	115.683	6.916	7.994	102.246	110.459	15.954	13.019	YAL061W_mRNA
I_33975_33994_+	YAL061W__YAL061W	1.098	0.755	0.947	0.691	0.924	1.121	1.272	1.085	YAL061W_mRNA
I_34344_34518_-	.	1.497	1.835	5.4	6.612	2.361	2.056	5.873	4.537	NA
I_34737_34787_-	.	0.499	0.755	0.663	0.493	0.616	0.467	0.489	0.69	NA
I_35056_35115_+	YAL060W__BDH1	47.893	49.101	27	28.521	49.994	46.539	28.58	27.518	YAL060W_mRNA
I_36328_36357_-	YAL059C-A__YAL059C-A	0.399	0.432	0.947	0.592	0	0.28	0.294	0.592	YAL059C-A_mRNA
I_36506_36567_+	YAL058W__CNE1	46.696	56.223	75.694	78.261	52.047	56.164	76.245	74.565	YAL058W_mRNA
I_36506_36567_+	YAL059W__YAL059W	46.696	56.223	75.694	78.261	52.047	56.164	76.245	74.565	YAL059W_mRNA
I_37337_37342_+	YAL058W__CNE1	0.599	0	0.095	0.099	0.308	0.28	0.196	0.099	YAL058W_mRNA
I_37337_37342_+	YAL059W__YAL059W	0.599	0	0.095	0.099	0.308	0.28	0.196	0.099	YAL059W_mRNA
I_37359_37422_+	YAL058W__CNE1	15.765	15.647	17.242	17.764	17.965	17.102	16.247	14.992	YAL058W_mRNA
I_37359_37422_+	YAL059W__YAL059W	15.765	15.647	17.242	17.764	17.965	17.102	16.247	14.992	YAL059W_mRNA
I_39186_39271_+	YAL056W__GPB2	41.408	40.36	24.158	27.83	38.291	37.661	22.707	26.335	YAL056W_mRNA
I_42133_42221_+	YAL055W__PEX22	20.754	23.741	16.105	15.396	22.482	19.531	16.345	15.584	YAL055W_mRNA
I_42700_42737_-	.	0.2	0.324	0.284	0.395	0.103	0.467	0.489	0.395	NA
I_42942_42965_-	.	0.998	0.647	0.663	1.382	2.772	2.149	1.664	1.677	NA
I_43062_43130_-	.	11.973	13.813	9.758	12.04	13.551	14.205	8.711	9.271	NA
I_43124_43130_+	YAL055W__PEX22	0	0	0.284	0	0.103	0.093	0.294	0.197	YAL055W_mRNA
I_43248_43330_-	.	8.681	13.381	6.916	6.81	12.524	10.56	7.439	9.173	NA
I_43437_43539_+	.	2.794	4.64	3.41	3.75	2.361	2.804	2.251	2.17	NA
I_43572_43617_-	.	8.581	9.604	3.316	4.54	7.597	7.663	3.719	4.636	NA
I_43693_43697_+	.	0.299	0.216	0	0.099	0	0.093	0	0	NA
I_45654_45708_-	YAL054C__ACS1	2.095	0.755	0.379	0.79	1.745	1.589	0.098	0.592	YAL054C_mRNA
I_45708_45899_+	YAL053W__FLC2	46.197	46.942	28.042	35.232	39.728	37.848	38.954	30.378	YAL053W_mRNA
I_48473_48595_+	YAL051W__OAF1	30.033	31.187	23.305	24.672	23.508	30.091	20.848	21.502	YAL051W_mRNA
I_48789_48795_+	YAL051W__OAF1	0.499	0.755	0.095	0.197	0.308	1.121	0.196	0.296	YAL051W_mRNA
I_52600_52679_-	YAL049C__YAL049C	59.368	56.007	47.084	44.706	55.64	50.65	48.546	48.132	YAL049C_mRNA
I_54740_54822_-	YAL048C__GEM1	8.681	11.655	5.968	6.513	11.6	9.252	5.579	5.425	YAL048C_mRNA
I_56843_56886_-	YAL045C__YAL045C	11.075	11.655	9.947	8.487	12.935	10.186	8.222	9.863	YAL045C_mRNA
I_56843_56886_-	YAL046C__YAL046C	11.075	11.655	9.947	8.487	12.935	10.186	8.222	9.863	YAL046C_mRNA
I_56843_56886_-	YAL047C__SPC72	11.075	11.655	9.947	8.487	12.935	10.186	8.222	9.863	YAL047C_mRNA
I_56970_56972_+	YAL044W-A__YAL044W-A	0.1	0.216	0.284	0.197	0.308	0.187	0.294	0.197	YAL044W-A_mRNA
I_57328_57333_-	YAL045C__YAL045C	0.599	0.755	0.474	0.296	1.232	0.654	0.392	0.099	YAL045C_mRNA
I_57328_57333_-	YAL046C__YAL046C	0.599	0.755	0.474	0.296	1.232	0.654	0.392	0.099	YAL046C_mRNA
I_57328_57333_-	YAL047C__SPC72	0.599	0.755	0.474	0.296	1.232	0.654	0.392	0.099	YAL047C_mRNA
I_57373_57424_-	YAL045C__YAL045C	60.166	63.885	48.22	49.937	66.727	63.64	52.168	49.907	YAL045C_mRNA
I_57373_57424_-	YAL046C__YAL046C	60.166	63.885	48.22	49.937	66.727	63.64	52.168	49.907	YAL046C_mRNA
I_57373_57424_-	YAL047C__SPC72	60.166	63.885	48.22	49.937	66.727	63.64	52.168	49.907	YAL047C_mRNA
I_57461_57535_+	YAL044W-A__YAL044W-A	162.039	157.661	129.882	137.178	172.873	154.661	142.311	144.692	YAL044W-A_mRNA
I_58200_58204_-	YAL044C__YAL044C	0.499	0.971	0.758	0.592	0.513	0.935	0.979	0.493	YAL044C_mRNA
I_58200_58204_-	YAL045C__YAL045C	0.499	0.971	0.758	0.592	0.513	0.935	0.979	0.493	YAL045C_mRNA
I_58200_58204_-	YAL046C__YAL046C	0.499	0.971	0.758	0.592	0.513	0.935	0.979	0.493	YAL046C_mRNA
I_58462_58483_-	YAL044C__YAL044C	97.683	104.676	86.304	88.228	99.987	108.964	75.56	83.935	YAL044C_mRNA
I_58462_58483_-	YAL045C__YAL045C	97.683	104.676	86.304	88.228	99.987	108.964	75.56	83.935	YAL045C_mRNA
I_58500_58504_-	YAL044C__YAL044C	0.399	0.216	0.189	0.296	0.308	0.935	0.196	0.493	YAL044C_mRNA
I_58500_58504_-	YAL045C__YAL045C	0.399	0.216	0.189	0.296	0.308	0.935	0.196	0.493	YAL045C_mRNA
I_61056_61093_-	YAL042C-A__YAL042C-A	6.785	9.173	5.874	6.02	7.083	5.887	5.187	5.227	YAL042C-A_mRNA
I_61056_61093_-	YAL043C__PTA1	6.785	9.173	5.874	6.02	7.083	5.887	5.187	5.227	YAL043C_mRNA
I_61100_61105_-	YAL042C-A__YAL042C-A	0	0.216	0.095	0.099	0.205	0.187	0	0	YAL042C-A_mRNA
I_61100_61105_-	YAL043C__PTA1	0	0.216	0.095	0.099	0.205	0.187	0	0	YAL043C_mRNA
I_61264_61316_+	YAL042W__ERV46	145.077	145.467	154.608	144.58	146.182	148.587	146.618	145.777	YAL042W_mRNA
I_62764_62827_+	YAL041W__CDC24	18.16	17.05	18.189	14.014	17.862	18.69	14.192	14.597	YAL041W_mRNA
I_62932_62936_+	YAL041W__CDC24	0.299	0.216	0.284	0.296	0.308	0.374	0.098	0.592	YAL041W_mRNA
I_6318_6360_-	.	4.49	4.209	2.937	4.046	5.133	4.392	2.936	2.564	NA
I_6547_6559_+	.	0.499	0.216	0.474	0.395	1.027	0.374	0.489	0.888	NA
I_67808_67896_-	YAL040C__CLN3	70.343	67.23	55.136	53.687	61.799	60.556	47.274	44.68	YAL040C_mRNA
I_69538_69627_-	YAL039C__CYC3	40.61	44.676	20.558	19.935	34.595	32.988	21.631	19.726	YAL039C_mRNA
I_70014_70018_+	.	0	0.216	0.095	0	0.205	0.28	0.098	0.099	NA
I_70321_70326_+	.	0.798	0.971	0	0.099	0.411	0.187	0.098	0	NA
I_71500_71522_-	.	2.395	1.727	1.705	0.79	1.642	1.215	0.979	1.479	NA
I_71643_71793_+	YAL038W__CDC19	3914.684	3774.482	3655.651	3639.662	3991.068	3755.045	3469.495	3518.369	YAL038W_mRNA
I_71885_71888_+	YAL038W__CDC19	0.299	0.216	0	0.493	0.308	0.093	0.489	0.395	YAL038W_mRNA
I_71914_71916_+	YAL038W__CDC19	0.898	2.05	1.232	0.888	1.335	1.682	1.86	0.789	YAL038W_mRNA
I_71977_71979_+	YAL038W__CDC19	0	0.324	0.189	0	0	0.093	0.685	0.197	YAL038W_mRNA
I_72043_72046_+	YAL038W__CDC19	1.996	1.619	1.895	1.579	1.129	2.617	1.37	2.367	YAL038W_mRNA
I_72227_72230_+	YAL038W__CDC19	1.696	2.59	1.516	0.888	1.027	1.121	1.37	1.479	YAL038W_mRNA
I_72276_72278_+	YAL038W__CDC19	0.998	2.698	0.947	0.79	1.129	1.308	1.468	1.874	YAL038W_mRNA
I_72315_72318_+	YAL038W__CDC19	2.095	2.59	1.705	2.171	1.437	2.056	3.132	2.071	YAL038W_mRNA
I_72469_72471_+	YAL038W__CDC19	1.197	1.079	0.379	0.493	0.719	0.28	0.392	0.493	YAL038W_mRNA
I_72559_72590_+	YAL038W__CDC19	17.561	19.424	20.652	18.554	12.524	16.074	15.66	16.471	YAL038W_mRNA
I_72721_72725_+	YAL038W__CDC19	3.293	2.59	3.221	2.072	3.182	2.804	2.936	2.466	YAL038W_mRNA
I_72795_72798_+	.	3.592	3.777	3.505	3.454	2.258	2.336	3.034	2.959	NA
I_73913_73916_+	YAL037W__YAL037W	1.596	1.619	0.947	1.184	1.335	0.748	1.175	0.888	YAL037W_mRNA
I_76158_76224_-	YAL036C__RBG1	167.128	160.575	206.144	213.564	170.307	172.324	186.355	193.218	YAL036C_mRNA
I_76367_76422_+	YAL035W__FUN12	302.926	323.308	374.489	352.617	307.661	306.519	309.385	325.187	YAL035W_mRNA
I_76674_76676_+	YAL035W__FUN12	0.399	0.755	0.853	0.79	1.027	0.748	0.489	0.493	YAL035W_mRNA
I_76701_76716_+	YAL035W__FUN12	0.399	1.295	0.663	0.888	0.719	0.654	0.783	0.296	YAL035W_mRNA
I_77027_77033_+	YAL035W__FUN12	0.998	1.511	0.663	0.296	0.513	0.654	0.196	0.592	YAL035W_mRNA
I_77430_77432_+	.	0.299	0.54	0.095	0.099	0.205	0.093	0.489	0.197	NA
I_79685_79695_+	YAL034W-A__MTW1	8.88	7.878	6.347	7.402	6.262	6.542	6.46	6.411	YAL034W-A_mRNA
I_81970_82018_-	YAL034C__YAL034C	15.466	14.892	3.6	3.652	15.193	15.606	4.013	6.411	YAL034C_mRNA
I_82536_82607_-	YAL034C__YAL034C	28.137	29.568	18.379	17.961	23.508	24.391	14.877	15.386	YAL034C_mRNA
I_82649_82661_-	YAL034C__YAL034C	0.599	0.324	0.284	0.197	0.205	0.093	0.196	0	YAL034C_mRNA
I_82661_82766_+	YAL033W__POP5	49.29	50.072	55.61	51.615	51.225	54.949	51.874	52.373	YAL033W_mRNA
I_82915_82920_-	YAL034C__YAL034C	0.299	0.108	0.095	0	0.411	0.187	0.098	0	YAL034C_mRNA
I_84283_84292_-	YAL032C__PRP45	0.299	0.324	0.568	0.197	0.616	0.654	0.489	0.493	YAL032C_mRNA
I_84493_84509_-	YAL032C__PRP45	11.874	11.115	11.179	10.461	10.676	10.84	8.124	9.173	YAL032C_mRNA
I_87025_87097_-	YAL031C__GIP4	49.789	54.388	36.378	34.344	48.248	47.753	37.388	39.946	YAL031C_mRNA
I_87249_87282_+	YAL030W__YAL030W	112.649	126.151	87.63	87.834	105.839	120.365	91.905	91.234	YAL030W_mRNA
